time,g,°C,rssi
12/14/2020  8:38:30 PM,0.117,25,-56
12/14/2020  8:37:05 PM,0.12,25,-62
12/14/2020  8:37:03 PM,0.342,25,-61
12/14/2020  8:37:01 PM,0.086,25,-62
12/14/2020  8:36:59 PM,0.215,25,-62.5
12/14/2020  8:36:56 PM,0.072,25,-65
12/14/2020  8:36:54 PM,0.187,25,-56.5
12/14/2020  8:36:53 PM,0.405,25,-56
12/14/2020  8:36:52 PM,1.22,25,-59.5
12/14/2020  8:35:57 PM,0.111,25,-65
12/14/2020  8:35:55 PM,0.218,25,-62.5
12/14/2020  8:35:46 PM,0.05,25,-59.5
12/14/2020  8:35:43 PM,0.161,25,-63
12/14/2020  8:35:41 PM,0.345,25,-64.5
12/14/2020  8:35:19 PM,0.077,25,-62.5
12/14/2020  8:35:15 PM,0.202,25,-65
12/14/2020  8:34:40 PM,0.101,25,-60
12/14/2020  8:34:38 PM,0.308,25,-63
12/14/2020  8:33:54 PM,0.043,25,-63.5
12/14/2020  8:31:54 PM,0.085,25,-63.5
12/14/2020  8:31:51 PM,0.217,25,-61
12/14/2020  8:31:42 PM,0.108,25,-63.5
12/14/2020  8:31:16 PM,0.101,25,-60
12/14/2020  8:31:13 PM,0.29,25,-63.5
12/14/2020  8:31:11 PM,0.078,25,-63
12/14/2020  8:31:09 PM,0.213,25,-64.5
12/14/2020  8:31:08 PM,0.331,25,-59
12/14/2020  8:31:07 PM,0.221,25,-63.5
12/14/2020  8:31:06 PM,0.061,25,-57
12/14/2020  8:31:04 PM,0.163,25,-62
12/14/2020  8:30:48 PM,0.058,25,-59
12/14/2020  8:28:48 PM,0.108,25,-59.5
12/14/2020  8:28:43 PM,0.287,25,-63
12/14/2020  8:28:42 PM,0.528,25,-61.5
12/14/2020  8:28:12 PM,0.083,25,-57.5
12/14/2020  8:28:10 PM,0.192,25,-60.5
12/14/2020  8:28:07 PM,0.063,25,-62.5
12/14/2020  8:27:55 PM,0.166,25,-64
12/14/2020  8:27:48 PM,0.04,25,-65
12/14/2020  8:27:34 PM,0.141,25,-61
12/14/2020  8:27:33 PM,0.25,25,-63.5
12/14/2020  8:26:48 PM,0.062,25,-63
12/14/2020  8:26:45 PM,0.182,25,-56.5
12/14/2020  8:26:44 PM,0.313,25,-60.5
12/14/2020  8:26:11 PM,0.09,25,-58.5
12/14/2020  8:26:09 PM,0.207,25,-59
12/14/2020  8:26:08 PM,0.355,25,-59
12/14/2020  8:25:43 PM,0.042,25,-64.5
12/14/2020  8:25:40 PM,0.15,25,-63.5
12/14/2020  8:25:39 PM,0.276,25,-64.5
12/14/2020  8:25:16 PM,0.065,25,-63.5
12/14/2020  8:25:14 PM,0.193,25,-62
12/14/2020  8:25:06 PM,0.141,25,-62.5
12/14/2020  8:25:04 PM,0.366,25,-62.5
12/14/2020  8:25:03 PM,1.008,25,-65.5
12/14/2020  8:25:02 PM,2.142,25,-66
12/14/2020  8:24:48 PM,0.077,25,-63
12/14/2020  8:24:46 PM,0.187,25,-62.5
12/14/2020  8:24:40 PM,0.025,25,-61.5
12/14/2020  8:24:35 PM,0.127,25,-60
12/14/2020  8:24:33 PM,0.241,25,-57.5
12/14/2020  8:24:32 PM,0.617,25,-62.5
