time,g avg,g high,g low,°C avg,°C high,°C low,sample qty,rssi avg,rssi high,rssi low
1/9/2021  3:00:00 AM,0.039,0.048,0.028,25,25,25,29,-62,-56,-64.5
1/9/2021  2:00:00 AM,0.036,0.056,0.021,25,25,25,29,-62,-56,-66
1/9/2021  1:00:00 AM,0.037,0.05,0.023,25,25,25,29,-62,-58,-64.5
1/9/2021  12:00:00 AM,0.036,0.052,0.021,25,25,25,29,-61,-57,-64
1/8/2021  11:00:00 PM,0.067,0.402,0.026,25,25,25,38,-61,-56,-69
1/8/2021  10:00:00 PM,0.277,3.698,0.02,25,25,25,111,-61,-52.5,-66
1/8/2021  9:00:00 PM,0.348,5.558,0.025,25,25,25,247,-61,-52,-67
1/8/2021  8:00:00 PM,0.047,0.162,0.025,25,25,25,31,-62,-55.5,-70.5
1/8/2021  7:00:00 PM,0.037,0.052,0.022,25,25,25,30,-61,-56,-65.5
1/8/2021  6:00:00 PM,0.039,0.055,0.027,25,25,25,29,-61,-55.5,-64.5
1/8/2021  5:00:00 PM,0.036,0.048,0.022,25,25,25,30,-61,-53.5,-64.5
1/8/2021  4:00:00 PM,0.037,0.052,0.025,25,25,25,30,-62,-56.5,-64.5
1/8/2021  3:00:00 PM,0.037,0.057,0.026,25,26,24,30,-60,-55.5,-64
1/8/2021  2:00:00 PM,0.038,0.052,0.025,25,25,23,30,-61,-56,-64
1/8/2021  1:00:00 PM,0.037,0.055,0.025,24,25,23,30,-61,-55.5,-64.5
1/8/2021  12:00:00 PM,0.036,0.053,0.023,25,25,25,30,-60,-54,-64.5
1/8/2021  11:00:00 AM,0.036,0.051,0.02,24,25,23,30,-61,-55.5,-64
1/8/2021  10:00:00 AM,0.07,0.297,0.023,24,25,22,40,-61,-54,-64
1/8/2021  9:00:00 AM,0.034,0.043,0.018,24,25,23,30,-61,-53,-63.5
1/8/2021  8:00:00 AM,0.036,0.055,0.022,25,25,23,30,-60,-53.5,-62.5
1/8/2021  7:00:00 AM,0.04,0.053,0.027,25,25,24,30,-60,-53.5,-64
1/8/2021  6:00:00 AM,0.036,0.045,0.021,25,25,25,29,-61,-56,-62
1/8/2021  5:00:00 AM,0.036,0.047,0.022,25,25,25,30,-61,-57,-62.5
1/8/2021  4:00:00 AM,0.039,0.051,0.023,25,25,25,30,-60,-53.5,-63
1/8/2021  3:00:00 AM,0.036,0.05,0.022,25,25,25,29,-61,-56,-63
1/8/2021  2:00:00 AM,0.038,0.05,0.025,25,25,25,30,-61,-55.5,-63
1/8/2021  1:00:00 AM,0.037,0.048,0.021,25,25,25,30,-61,-55.5,-63
1/8/2021  12:00:00 AM,0.036,0.052,0.021,25,25,25,30,-61,-54,-62.5
1/7/2021  11:00:00 PM,0.037,0.052,0.023,25,25,25,30,-61,-55,-63
1/7/2021  10:00:00 PM,0.039,0.051,0.028,25,25,25,30,-61,-55.5,-62.5
1/7/2021  9:00:00 PM,0.038,0.06,0.021,25,25,25,30,-61,-56,-62.5
1/7/2021  8:00:00 PM,0.035,0.043,0.023,25,25,25,30,-61,-54,-63
1/7/2021  7:00:00 PM,0.036,0.05,0.026,25,25,25,29,-61,-56.5,-62.5
1/7/2021  6:00:00 PM,0.037,0.05,0.025,25,25,25,30,-61,-55,-62
1/7/2021  5:00:00 PM,0.035,0.045,0.026,25,25,25,27,-61,-56,-63
